agency,district,category,total19,total20,total21,last12mos
LAPD,77th Street,Aggravated Assault,1973,2371,2223,2152
LAPD,77th Street,Burglary,705,492,557,479
LAPD,77th Street,Homicide,37,57,63,60
LAPD,77th Street,Larceny,2638,1964,1740,1816
LAPD,77th Street,Robbery,1138,959,959,1060
LAPD,77th Street,Sexual Assault,136,122,129,101
LAPD,77th Street,Vehicle Theft,1325,1626,1814,1841
LAPD,Central,Aggravated Assault,1111,1255,1390,1553
LAPD,Central,Burglary,357,617,538,630
LAPD,Central,Homicide,17,21,25,25
LAPD,Central,Larceny,5114,3348,4311,6455
LAPD,Central,Robbery,724,563,806,852
LAPD,Central,Sexual Assault,161,124,146,114
LAPD,Central,Vehicle Theft,412,607,849,1221
LAPD,Devonshire,Aggravated Assault,420,415,496,551
LAPD,Devonshire,Burglary,767,675,737,860
LAPD,Devonshire,Homicide,9,1,7,8
LAPD,Devonshire,Larceny,3001,2570,2559,2547
LAPD,Devonshire,Robbery,232,181,219,244
LAPD,Devonshire,Sexual Assault,57,46,46,42
LAPD,Devonshire,Vehicle Theft,542,713,948,960
LAPD,Foothill,Aggravated Assault,595,591,628,590
LAPD,Foothill,Burglary,477,473,449,480
LAPD,Foothill,Homicide,5,10,4,11
LAPD,Foothill,Larceny,1857,1582,1684,1761
LAPD,Foothill,Robbery,241,193,179,184
LAPD,Foothill,Sexual Assault,65,49,48,40
LAPD,Foothill,Vehicle Theft,870,1000,934,913
LAPD,Harbor,Aggravated Assault,903,848,934,928
LAPD,Harbor,Burglary,571,606,509,561
LAPD,Harbor,Homicide,18,17,26,18
LAPD,Harbor,Larceny,2024,1954,1832,1707
LAPD,Harbor,Robbery,308,263,283,299
LAPD,Harbor,Sexual Assault,61,63,70,59
LAPD,Harbor,Vehicle Theft,843,1135,1267,1329
LAPD,Hollenbeck,Aggravated Assault,769,783,1000,961
LAPD,Hollenbeck,Burglary,424,428,386,420
LAPD,Hollenbeck,Homicide,23,30,39,34
LAPD,Hollenbeck,Larceny,1852,1563,1579,1482
LAPD,Hollenbeck,Robbery,305,268,310,313
LAPD,Hollenbeck,Sexual Assault,80,48,48,48
LAPD,Hollenbeck,Vehicle Theft,923,1353,1296,1488
LAPD,Hollywood,Aggravated Assault,772,888,1070,993
LAPD,Hollywood,Burglary,503,681,647,637
LAPD,Hollywood,Homicide,4,7,9,12
LAPD,Hollywood,Larceny,3988,2914,3666,3980
LAPD,Hollywood,Robbery,573,449,637,627
LAPD,Hollywood,Sexual Assault,130,100,119,106
LAPD,Hollywood,Vehicle Theft,434,720,906,930
LAPD,Mission,Aggravated Assault,727,752,794,746
LAPD,Mission,Burglary,401,430,369,353
LAPD,Mission,Homicide,9,11,15,13
LAPD,Mission,Larceny,2229,1932,1875,2162
LAPD,Mission,Robbery,312,280,259,276
LAPD,Mission,Sexual Assault,62,70,68,68
LAPD,Mission,Vehicle Theft,1061,1219,1209,1248
LAPD,Newton,Aggravated Assault,1208,1250,1302,1327
LAPD,Newton,Burglary,400,604,535,616
LAPD,Newton,Homicide,24,35,31,39
LAPD,Newton,Larceny,2550,1836,1753,2166
LAPD,Newton,Robbery,737,599,575,644
LAPD,Newton,Sexual Assault,83,81,75,78
LAPD,Newton,Vehicle Theft,1062,1645,1635,1848
LAPD,North Hollywood,Aggravated Assault,627,693,748,775
LAPD,North Hollywood,Burglary,947,815,819,921
LAPD,North Hollywood,Homicide,10,11,9,10
LAPD,North Hollywood,Larceny,3753,3092,3487,3159
LAPD,North Hollywood,Robbery,270,252,301,321
LAPD,North Hollywood,Sexual Assault,90,61,65,67
LAPD,North Hollywood,Vehicle Theft,753,1014,1048,1043
LAPD,Northeast,Aggravated Assault,561,547,674,610
LAPD,Northeast,Burglary,745,662,604,680
LAPD,Northeast,Homicide,5,10,20,16
LAPD,Northeast,Larceny,3241,2554,2814,2965
LAPD,Northeast,Robbery,259,237,270,344
LAPD,Northeast,Sexual Assault,63,48,48,41
LAPD,Northeast,Vehicle Theft,775,1073,1231,1277
LAPD,Olympic,Aggravated Assault,697,823,996,1058
LAPD,Olympic,Burglary,476,697,655,822
LAPD,Olympic,Homicide,6,17,11,13
LAPD,Olympic,Larceny,3160,2493,2711,2569
LAPD,Olympic,Robbery,545,448,503,558
LAPD,Olympic,Sexual Assault,95,99,78,77
LAPD,Olympic,Vehicle Theft,723,911,1330,1399
LAPD,Pacific,Aggravated Assault,564,682,781,696
