rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
2.3,1,0,0,1,2,2,1,2,0,0,0,2,0,NA,-100,0
1.4,3,1,1,6,1,2,8,2,2,3,2,0,1,-66.7,-66.7,0.9
0.8,1,1,0,0,1,0,0,2,14,0,1,2,1,NA,0,0.8
2.8,0,0,0,0,0,0,0,0,0,0,2,1,1,NA,NA,2.8
5,8,8,9,15,11,12,12,15,14,13,8,13,7,-46.2,-12.5,3.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
0,2,0,2,0,0,1,0,0,1,0,0,0,0,NA,-100,0
1.1,0,2,0,0,0,2,4,1,0,0,0,1,2,NA,NA,2.8
3.3,1,1,1,6,3,1,2,2,1,2,2,0,0,-100,-100,0
1.4,1,0,3,3,0,1,2,0,0,1,3,1,2,100,100,1.6
2.7,1,2,5,3,2,3,2,2,3,5,1,0,4,-20,300,4.3
