place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
LAPD 77th Street^Division of Los Angeles PD^,122,117,129,127,152,148,180,160,133,136,122,129,-5.1,5.7,68.9
LAPD Central^Division of Los Angeles PD^,58,46,74,66,99,132,135,160,148,161,124,146,-9.3,151.7,179.1
LAPD Devonshire^Division of Los Angeles PD^,60,56,40,50,72,77,88,82,84,57,46,46,-19.3,-23.3,20
LAPD Foothill^Division of Los Angeles PD^,79,57,61,69,85,82,81,65,79,65,49,48,-26.2,-39.2,24.5
LAPD Harbor^Division of Los Angeles PD^,47,58,74,48,77,61,95,91,86,61,63,71,16.4,51.1,39.3
LAPD Hollenbeck^Division of Los Angeles PD^,60,54,61,56,71,74,94,87,91,80,48,48,-40,-20,28.3
LAPD Hollywood^Division of Los Angeles PD^,109,107,121,94,133,152,156,183,148,130,100,119,-8.5,9.2,91.3
LAPD Mission^Division of Los Angeles PD^,64,73,82,70,93,109,107,104,102,62,70,68,9.7,6.2,27.3
LAPD Newton^Division of Los Angeles PD^,64,62,60,62,77,80,103,69,83,83,81,75,-9.6,17.2,50.2
LAPD North Hollywood^Division of Los Angeles PD^,69,77,70,68,75,97,96,93,99,90,61,65,-27.8,-5.8,30.9
LAPD Northeast^Division of Los Angeles PD^,58,43,62,71,83,79,90,80,76,63,49,48,-23.8,-17.2,22.1
LAPD Olympic^Division of Los Angeles PD^,60,57,68,78,89,114,96,96,117,95,100,80,-15.8,33.3,43.5
LAPD Pacific^Division of Los Angeles PD^,69,55,56,71,76,104,98,109,99,88,87,68,-22.7,-1.4,31.3
LAPD Rampart^Division of Los Angeles PD^,97,98,95,81,81,109,135,116,102,115,74,81,-29.6,-16.5,50.8
LAPD Southeast^Division of Los Angeles PD^,81,94,86,82,117,137,109,132,133,110,90,81,-26.4,0,53.8
LAPD Southwest^Division of Los Angeles PD^,119,89,106,83,137,153,170,140,147,132,106,116,-12.1,-2.5,60.1
LAPD Topanga^Division of Los Angeles PD^,56,53,68,62,60,83,99,78,94,69,53,63,-8.7,12.5,30.4
LAPD Van Nuys^Division of Los Angeles PD^,92,60,47,66,62,88,84,98,62,30,33,35,16.7,-62,18.6
LAPD West Los Angeles^Division of Los Angeles PD^,48,39,51,43,64,85,88,99,65,65,51,56,-13.8,16.7,23.1
LAPD West Valley^Division of Los Angeles PD^,54,47,50,59,53,67,73,81,88,70,72,55,-21.4,1.9,27.3
LAPD Wilshire^Division of Los Angeles PD^,55,32,59,47,69,79,86,84,89,66,55,58,-12.1,5.5,37.9
Unincorporated Altadena^Area policed by LASD^,5,6,8,11,6,12,10,16,5,11,6,4,-63.6,-20,9.1
Avalon^Area policed by LASD^,0,0,0,0,4,2,2,4,1,2,2,3,50,NA,88.2
Unincorporated Avalon^Area policed by LASD^,1,1,0,0,0,0,0,0,0,0,0,2,NA,100,500
Carson^Area policed by LASD^,12,13,15,15,9,17,26,20,14,31,21,18,-41.9,50,18.8
Unincorporated Carson^Area policed by LASD^,5,1,1,2,5,6,4,4,10,8,6,3,-62.5,-40,11.5
Lynwood^Area policed by LASD^,15,11,24,14,11,20,31,16,22,21,17,20,-4.8,33.3,29.7
Unincorporated Century^Area policed by LASD^,36,33,32,28,41,54,43,44,43,44,33,47,6.8,30.6,39.9
Cerritos^Area policed by LASD^,3,4,8,4,2,7,5,4,13,10,14,10,0,233.3,20.2
Compton^Area policed by LASD^,25,45,33,26,27,34,38,33,38,40,48,37,-7.5,48,38.7
Unincorporated Compton^Area policed by LASD^,10,12,3,7,4,7,9,5,6,7,13,7,0,-30,30.8
La Canada Flintridge^Area policed by LASD^,2,2,1,0,0,7,0,1,2,2,3,1,-50,-50,4.9
Unincorporated Crescenta Valley^Area policed by LASD^,4,1,3,2,1,4,8,2,4,3,3,3,0,-25,13.8
Commerce^Area policed by LASD^,4,5,2,2,3,10,6,6,9,5,4,12,140,200,94.5
Cudahy^Area policed by LASD^,3,7,1,4,6,6,9,3,5,2,3,6,200,100,26.4
Maywood^Area policed by LASD^,2,0,6,4,2,6,9,8,10,7,5,7,0,250,27.9
Unincorporated East Los Angeles^Area policed by LASD^,39,20,26,23,27,37,38,49,30,26,21,32,23.1,-17.9,27
Industry^Area policed by LASD^,0,2,1,4,3,1,8,5,3,1,3,1,0,NA,166.7
La Habra Heights^Area policed by LASD^,1,1,0,1,0,1,0,1,1,0,1,1,NA,0,17.5
La Puente^Area policed by LASD^,4,6,6,12,1,7,9,14,16,6,12,8,33.3,100,21.1
Unincorporated Industry^Area policed by LASD^,17,18,13,16,17,27,30,30,28,24,30,25,4.2,47.1,18.6
Artesia^Area policed by LASD^,3,1,1,0,1,2,1,2,3,2,4,0,-100,-100,0
Bellflower^Area policed by LASD^,24,14,11,9,9,21,31,16,25,29,26,29,0,20.8,36.6
Hawaiian Gardens^Area policed by LASD^,5,1,2,2,1,2,2,1,4,5,6,3,-40,-40,21.3
Lakewood^Area policed by LASD^,15,9,13,11,8,16,7,13,23,20,16,14,-30,-6.7,17
Paramount^Area policed by LASD^,13,7,7,8,14,10,18,8,19,16,17,19,18.8,46.2,35.5
Unincorporated Lakewood^Area policed by LASD^,0,2,1,3,0,0,0,0,0,1,1,0,-100,NA,0
Lancaster^Area policed by LASD^,61,43,56,44,54,87,79,80,94,114,84,70,-38.6,14.8,41.1
Unincorporated Lancaster^Area policed by LASD^,0,7,11,10,9,12,16,11,15,22,7,13,-40.9,NA,35.9
Lomita^Area policed by LASD^,4,5,1,2,2,5,4,3,6,4,1,4,0,0,19.1
Rancho Palos Verdes^Area policed by LASD^,8,1,1,1,5,4,7,5,6,3,4,6,100,-25,14.2
Rolling Hills^Area policed by LASD^,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Rolling Hills Estates^Area policed by LASD^,0,0,0,0,0,0,0,2,3,0,2,2,NA,NA,24.4
Unincorporated Lomita^Area policed by LASD^,0,0,0,0,0,2,1,2,0,1,0,0,-100,NA,0
Agoura Hills^Area policed by LASD^,2,1,2,1,4,2,2,2,5,6,0,2,-66.7,0,9.9
Calabasas^Area policed by LASD^,1,0,5,3,2,5,1,14,8,6,6,11,83.3,1000,47.4
Hidden Hills^Area policed by LASD^,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,58.8
Malibu^Area policed by LASD^,1,2,4,3,6,8,6,8,9,5,9,8,60,700,75.5
Westlake Village^Area policed by LASD^,0,0,1,1,5,2,4,1,0,5,1,3,-40,NA,37.5
Unincorporated Malibu/Lost Hills^Area policed by LASD^,1,3,1,2,3,9,7,7,9,9,5,5,-44.4,400,22.1
Unincorporated Marina Del Rey^Area policed by LASD^,1,5,3,2,8,9,11,17,7,7,13,9,28.6,800,29.8
La Mirada^Area policed by LASD^,3,3,5,10,4,10,9,7,6,6,6,12,100,300,25
Norwalk^Area policed by LASD^,14,10,14,16,13,33,20,17,23,21,22,22,4.8,57.1,21.4
Unincorporated Norwalk^Area policed by LASD^,10,6,10,11,9,12,9,12,15,19,13,19,0,90,28.4
Palmdale^Area policed by LASD^,41,39,39,28,40,49,47,37,43,55,51,63,14.5,53.7,37.2
Unincorporated Palmdale^Area policed by LASD^,7,3,5,6,11,11,13,8,13,14,16,15,7.1,114.3,34.1
Pico Rivera^Area policed by LASD^,15,11,9,8,9,16,13,19,9,16,17,11,-31.2,-26.7,17.7
Unincorporated Pico Rivera^Area policed by LASD^,5,8,1,2,6,9,12,9,6,9,7,6,-33.3,20,19.5
San Dimas^Area policed by LASD^,4,4,2,6,2,8,16,5,11,15,8,14,-6.7,250,40.1
Unincorporated San Dimas^Area policed by LASD^,4,8,6,7,10,14,13,20,15,21,17,17,-19,325,35.6
Santa Clarita^Area policed by LASD^,21,18,31,19,17,38,45,40,43,49,42,45,-8.2,114.3,21.3
Unincorporated Santa Clarita Valley^Area policed by LASD^,10,6,11,6,5,15,10,17,21,12,11,13,8.3,30,16.8
Lawndale^Area policed by LASD^,10,7,4,9,6,9,9,3,10,6,6,7,16.7,-30,22.1
Unincorporated South Los Angeles^Area policed by LASD^,25,22,27,22,31,47,40,29,26,32,32,12,-62.5,-52,14.1
Bradbury^Area policed by LASD^,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Duarte^Area policed by LASD^,4,5,5,2,3,3,0,2,5,2,4,6,200,50,27.6
Rosemead^Area policed by LASD^,10,13,4,6,7,9,10,12,12,11,10,14,27.3,40,27.4
South El Monte^Area policed by LASD^,4,6,3,4,4,6,6,4,7,11,9,6,-45.5,50,30.5
Temple City^Area policed by LASD^,8,2,2,6,2,10,5,3,7,7,3,5,-28.6,-37.5,13.7
Unincorporated Temple^Area policed by LASD^,12,4,4,9,9,11,7,15,9,11,13,14,27.3,16.7,24.5
Diamond Bar^Area policed by LASD^,4,6,1,3,6,4,4,5,7,4,7,5,25,25,9.1
Walnut^Area policed by LASD^,3,3,2,3,2,1,2,12,4,4,1,5,25,66.7,17.6
Unincorporated Walnut/Diamond Bar^Area policed by LASD^,4,3,3,1,5,8,11,8,18,11,14,14,27.3,250,26.6
West Hollywood^Area policed by LASD^,12,19,12,14,7,21,27,29,40,24,28,24,0,100,66.9
Unincorporated West Hollywood^Area policed by LASD^,2,1,0,0,0,2,1,2,0,0,0,0,NA,-100,0
Alhambra,8,7,2,9,19,13,9,17,14,11,11,12,9.1,50,14.5
Arcadia,5,5,1,1,7,6,4,7,8,10,6,11,10,120,19.5
Azusa,11,14,6,4,12,13,18,16,25,17,7,10,-41.2,-9.1,20.1
Baldwin Park,8,9,5,6,7,34,31,26,35,24,8,19,-20.8,137.5,26.4
Bell,12,14,9,10,19,17,11,17,10,11,12,15,36.4,25,44.8
Bell Gardens,5,5,2,3,7,6,7,5,6,4,8,3,-25,-40,7.6
Beverly Hills,4,2,7,5,7,9,14,10,14,6,6,14,133.3,250,42.7
Burbank,13,17,24,13,14,10,24,20,18,11,12,9,-18.2,-30.8,8.4
Claremont,5,1,5,2,4,12,3,9,15,6,10,17,183.3,240,45.6
Covina,7,10,13,9,5,8,23,22,28,25,18,16,-36,128.6,31.2
Culver City,4,6,6,7,6,4,3,1,6,2,5,13,550,225,31.9
Downey,17,23,20,12,15,23,22,23,14,30,23,39,30,129.4,34.1
El Monte,27,33,14,14,20,21,31,43,35,34,40,34,0,25.9,31.1
El Segundo,5,4,1,0,4,1,4,4,11,5,11,4,-20,-20,23.1
Hawthorne,33,25,26,32,25,35,40,25,37,34,25,45,32.4,36.4,3214.3
Gardena,9,11,13,16,10,24,24,16,16,20,18,14,-30,55.6,23
Glendale,17,14,6,8,9,17,38,32,24,16,14,15,-6.2,-11.8,7.6
Glendora,9,7,8,7,11,6,4,15,23,21,15,8,-61.9,-11.1,15.3
