rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
46.6,56,82,54,64,53,62,57,64,73,76,54,66,65,-14.5,16.1,46.5
71.8,5,6,7,8,7,7,10,7,5,7,10,12,16,128.6,220,102.6
47,28,14,17,20,21,24,21,28,21,23,23,31,30,30.4,7.1,52.6
113.5,492,446,440,437,418,439,390,480,407,396,412,386,380,-4,-22.8,109.6
88.3,145,104,137,107,101,110,94,98,107,108,121,128,150,38.9,3.4,104.5
18.4,40,40,29,38,36,57,52,55,53,66,49,70,41,-37.9,2.5,13.3
84.6,184,171,135,137,124,155,186,220,163,185,152,98,147,-20.5,-20.1,85.5
43,14,11,12,12,11,13,9,18,15,15,16,9,14,-6.7,0,44.6
88.1,82,76,77,80,65,67,78,96,74,91,64,68,73,-19.8,-11,86.9
12.5,5,9,10,6,1,9,10,6,6,12,3,5,4,-66.7,-20,8.4
14.2,7,5,2,1,3,2,2,0,2,2,4,3,1,-50,-85.7,5.7
128.9,63,53,46,45,44,60,56,37,42,31,57,59,49,58.1,-22.2,128.9
41.3,42,27,27,13,21,24,17,21,29,32,43,20,46,43.8,9.5,54
42.4,7,6,12,11,6,10,4,10,3,3,3,5,9,200,28.6,76.3
43.8,37,18,17,17,20,23,22,21,25,21,23,20,24,14.3,-35.1,47.8
31.7,13,5,13,10,7,12,17,22,13,18,8,7,9,-50,-30.8,27.2
51.7,23,25,29,16,14,17,23,25,20,28,45,20,14,-50,-39.1,27
132.6,102,79,88,84,74,118,96,132,117,122,114,108,138,13.1,35.3,151.8
14.9,9,9,11,6,7,7,6,5,12,17,7,7,10,-41.2,11.1,14.6
43.5,8,6,7,5,7,12,17,14,9,5,17,8,10,100,25,43.5
112.6,93,83,83,94,120,122,145,128,110,104,116,145,139,33.7,49.5,124.2
44.9,15,16,13,13,14,15,15,16,12,20,17,12,14,-30,-6.7,39.8
8.6,1,0,0,0,2,1,1,0,0,0,0,1,1,NA,0,17.2
65,60,47,45,33,46,37,35,46,45,41,42,27,54,31.7,-10,85.6
50.7,28,27,23,22,22,31,29,39,29,29,22,19,26,-10.3,-7.1,55
51.1,109,108,83,100,100,117,76,95,106,99,107,94,106,7.1,-2.8,53.3
41.7,24,15,24,21,17,16,21,37,28,29,30,19,29,0,20.8,45.1
18.3,10,13,16,13,19,12,22,11,21,12,10,12,13,8.3,30,20.2
20.3,19,30,28,22,23,32,25,26,24,22,20,11,23,4.5,21.1,24.5
107.6,719,591,541,463,452,523,511,605,499,472,401,329,133,-71.8,-81.5,42.9
76.2,56,39,36,36,39,38,34,47,49,61,76,46,62,1.6,10.7,77.2
14.9,8,8,6,4,5,3,5,8,10,13,3,7,8,-38.5,0,15.3
29.3,32,22,20,23,18,23,13,24,36,14,26,26,35,150,9.4,40.7
32.5,5,8,5,8,7,5,4,19,20,10,8,5,10,0,100,39.7
19.5,32,42,33,23,23,28,30,34,17,21,27,27,29,38.1,-9.4,21.8
