rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
2.3,3,3,4,4,0,7,1,4,3,3,4,6,0,-100,-100,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
0.4,3,1,1,0,0,1,0,0,0,0,0,1,0,NA,-100,0
4.4,7,15,15,11,14,18,7,10,7,8,16,25,12,50,71.4,3.5
1.7,3,2,0,0,0,0,5,1,3,2,2,5,1,-50,-66.7,0.7
0.6,0,2,2,2,0,2,3,2,0,1,1,2,4,300,NA,1.3
2,3,3,1,5,5,4,4,5,4,6,2,3,3,-50,0,1.7
0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,0
1,0,3,1,2,1,1,1,1,0,1,1,0,1,0,NA,1.2
0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,-100,0
1.1,2,0,0,0,0,0,0,0,0,0,0,0,1,NA,-50,5.7
3.2,2,1,1,1,2,0,0,1,0,3,0,0,2,-33.3,0,5.3
2.1,0,0,1,2,0,2,1,0,1,5,1,1,0,-100,NA,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,0
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,NA,2
0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,3
1.5,0,1,1,2,1,0,1,1,0,0,2,1,0,NA,NA,0
1.3,2,3,2,0,2,1,2,4,2,0,0,1,4,NA,100,4.4
0,0,3,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0
3.5,0,0,1,0,0,0,0,0,0,1,1,0,1,0,NA,4.3
0.9,1,4,4,1,0,1,1,1,3,0,2,1,1,NA,0,0.9
2.8,0,2,0,0,2,0,1,0,0,2,1,0,1,-50,NA,2.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2.4,0,0,2,0,2,0,1,1,1,0,1,0,5,NA,NA,7.9
1.1,1,0,0,2,0,0,0,2,1,0,0,1,1,NA,0,2.1
1.3,2,4,3,2,1,0,2,2,1,2,3,2,3,50,50,1.5
0.8,3,0,0,0,0,1,0,0,0,1,1,0,0,-100,-100,0
1.2,2,0,0,0,1,2,0,1,0,1,1,0,1,0,-50,1.6
0.9,0,0,0,0,5,1,0,1,0,1,0,1,1,0,NA,1.1
5,28,13,11,13,18,12,23,21,21,13,15,21,13,0,-53.6,4.2
0.2,1,1,0,1,0,1,2,3,0,1,0,0,0,-100,-100,0
1.5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,NA,1.9
1.2,0,2,0,2,0,0,0,0,1,1,3,0,0,-100,NA,0
0,1,8,0,0,0,0,1,0,0,0,0,0,0,NA,-100,0
0.6,0,1,0,1,5,2,0,0,1,2,1,0,0,-100,NA,0
